ID,productName,price,desciption,linkToDetails,imgPath
11,Pc Portable HP OMEN 15-ce001nk i5 7è Gén 12Go 1To (1VQ20EA),"2 789,000 DT","Ecran 15.6''&nbsp;FHD IPS&nbsp;- Processeur: Intel Core&nbsp;i5-7300HQ, (2,5 GHz&nbsp;up to 3.5 Ghz, 6Mo de mémoire cache) - Systéme d'exploitaton: Windows 10 - Mémoire RAM: 12 Go&nbsp;DDR4&nbsp;- Disque Dur: 1 To,&nbsp;SATA 7200&nbsp;tr/min&nbsp;- Carte Graphique: NVIDIA GeForce GTX 1050, (2 Go de mémoire&nbsp;GDDR5&nbsp;dédiée) avec Wifi - Bluetooth - Couleur:&nbsp;Noir - Garantie 1 an Retrait en Magasin ou...",https://www.mytek.tn/pc-portable/13826-pc-portable-hp-omen-15-ce001nk-i5-7e-gen-12go-1to-1vq20ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/0/3/4/7/50347-product_category.jpg
12,Pc Portable Gamer DELL i7 8è Gén 8Go 1To + 128SSD - Bleu (3579G3I7),"2 799,000 DT","Ecran&nbsp;15.6"" FULL HD&nbsp;-&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-8750H&nbsp;8ème Génération&nbsp;(2.2 GHz&nbsp;up to&nbsp;4.10 GHz, 9&nbsp;Mo&nbsp;de mémoire cache, Hexa-Core) -&nbsp;Systéme d'exploitation:&nbsp;Linux (Ubuntu)&nbsp;- Mémoire RAM:&nbsp;8 Go&nbsp;DDR4&nbsp;-&nbsp;Disque dur:&nbsp;1 To HDD&nbsp;+&nbsp;128Go SSD&nbsp;- Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050&nbsp;avec&nbsp;(4&nbsp;Go&nbsp;&nbsp;de mémoire dédiée&nbsp;GDDR5) avec&nbsp;Wi-Fi&nbsp;et&nbsp;Bluetooth&nbsp;- Couleur: Bleu -...",https://www.mytek.tn/pc-gamer-/20652-pc-portable-gamer-dell-i7-8e-gen-8go-1to-128ssd-bleu-3579g3i7.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/5/6/6/64566-product_category.jpg
13,Pc Portable Gamer DELL G3 15-3579 i7 8è Gén 8Go 1To + 128SSD Noir (3579G3I7),"2 799,000 DT","Ecran&nbsp;15.6"" FHD IPS rétroéclairé&nbsp;(1920*1080)-&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-8750H&nbsp;8ème Génération&nbsp;(2.2 GHz&nbsp;up to&nbsp;4.10 GHz, 9&nbsp;Mo&nbsp;de mémoire cache, Hexa-Core) -&nbsp;Systéme d'exploitation:&nbsp;ubuntu Linux&nbsp;- Mémoire RAM:&nbsp;8Go&nbsp;DDR4&nbsp;-&nbsp;Disque dur:&nbsp;1 To, 5400 rpm&nbsp;+&nbsp;128GoSSD&nbsp;- Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050&nbsp;avec&nbsp;(4Go&nbsp;de mémoire dédiée&nbsp;GDDR5) avec&nbsp;Wi-Fi,HDMI, USB 3.1...",https://www.mytek.tn/pc-gamer-tunisie/20684-pc-portable-gamer-dell-inspiron-3579-i7-8e-gen-8go-1to-128ssd-noir-3579g3i7.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/6/2/5/64625-product_category.jpg
14,Pc Portable Gamer DELL i7 8è Gén 8Go 1To + 128SSD - Blanc (3579G3I7),"2 799,000 DT","Ecran&nbsp;15.6"" FULL HD&nbsp;-&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-8750H&nbsp;8ème Génération&nbsp;(2.2 GHz&nbsp;up to&nbsp;4.10 GHz, 9&nbsp;Mo&nbsp;de mémoire cache, Hexa-Core) -&nbsp;Systéme d'exploitation:&nbsp;Linux (Ubuntu)&nbsp;- Mémoire RAM:&nbsp;8 Go&nbsp;DDR4&nbsp;-&nbsp;Disque dur:&nbsp;1 To HDD&nbsp;+&nbsp;128Go SSD&nbsp;- Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050&nbsp;avec&nbsp;(4&nbsp;Go&nbsp;&nbsp;de mémoire dédiée&nbsp;GDDR5) avec&nbsp;Wi-Fi&nbsp;et&nbsp;Bluetooth&nbsp;- Couleur: Blanc -...",https://www.mytek.tn/pc-gamer-/20654-pc-portable-gamer-dell-i7-8e-gen-8go-1to-128ssd-blanc-3579g3i7.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/5/6/9/64569-product_category.jpg
15,Pc Portable ASUS TUF Gaming FX504GD i7 8é Gén 16Go 1To+ 8Go SSHD Noir,"2 899,000 DT","Ecran&nbsp;15,6""&nbsp;Full HD&nbsp;(1920 x1080 px) -&nbsp;Processeur:&nbsp;Intel® Core™&nbsp;i7-8750HQ&nbsp;8éme Génération, (2.2 Ghz&nbsp;up to 4.1 Ghz, 9&nbsp;Mo&nbsp;de mémoire cache,&nbsp;Hexa-Core) -&nbsp;Système d'exploitation:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;16&nbsp;Go&nbsp;DDR4&nbsp;-&nbsp;Disque Dur:&nbsp;1 To + 8 Go SSHD&nbsp;-&nbsp;Carte Graphique:&nbsp;NVIDIA® GeForce®&nbsp;GTX&nbsp;1050&nbsp;(4Go&nbsp;GDDR5&nbsp;de mémoire dédiée&nbsp;) avec WiFi, Ethernet, Bluetooth -&nbsp;Clavier...",https://www.mytek.tn/pc-gamer-/19231-pc-portable-asus-tuf-fx504gd-i7-8e-gen-16go-1to8-go-sshd-noir.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/1/7/2/2/61722-product_category.jpg
16,Pc Portable DELL Inspiron 7577 i7 16Go 1To + 128SSD Noir,"2 999,000 DT","Ecran:&nbsp;15.6'' IPS FHD (1920 x 1080 px),&nbsp;Processeur:&nbsp;Intel Core I7-7700HQ 7è gén (Quad-Core, 2.8 GHz jusqu‘à 3.8 GHz, 6Mo de mémoire cache),&nbsp;Systéme d'exploitation:&nbsp;Linux &nbsp;-&nbsp;Mémoire RAM:&nbsp;16Go DDR4 2400 MHz,&nbsp;Disque Dur:&nbsp;1 To HDD + 128Go SSD,&nbsp;Carte Graphique:&nbsp;Nvidia GeForce GTX&nbsp;1050 Ti&nbsp;(&nbsp;4 Go de mémoire&nbsp;GDDR5)&nbsp;avec USB&nbsp;3.1 Gén.&nbsp;1 , USB&nbsp;3.1 Type-C , HDMI,...",https://www.mytek.tn/pc-portable/14785-pc-portable-dell-inspiron-7577-i7-16go-1to-128ssd-4go-dediee.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/2/0/5/8/52058-product_category.jpg
17,Pc Portable MSI GF638RC-238XFR i7 8é Gén 8Go 1To,"3 149,000 DT","Ecran&nbsp;15.6""&nbsp;FULL HD&nbsp;(1920 x 1080 pixels) -&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-8750H 8ème Génération&nbsp;(2.2 GHz up to 4.1 GHz Turbo - 9 Mo de mémoire cache, Octa-Core) -&nbsp;Systéme d'exploitation:&nbsp;FreeDos - Mémoire RAM:&nbsp;8 Go&nbsp;DDR4&nbsp;-&nbsp;Disque dur:&nbsp;1To&nbsp;- Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050&nbsp;avec&nbsp;(4&nbsp;Go&nbsp;&nbsp;de mémoire dédiée&nbsp;GDDR5) avec&nbsp;Wi-Fi&nbsp;et&nbsp;Bluetooth - Garantie: 2 ans...",https://www.mytek.tn/pc-gamer-/20383-pc-portable-msi-gf638rc-238xfr-i7-8e-gen-8go-1to.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/0/2/9/64029-product_category.jpg
18,Pc Portable Gamer DELL i7 8è Gén 8Go 1To + 128SSD - Noir (3579G3I7),"3 209,000 DT","Ecran&nbsp;15.6"" HD&nbsp;-&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-8750H&nbsp;8ème Génération&nbsp;(2.2 GHz&nbsp;up to&nbsp;4.10 GHz, 9&nbsp;Mo&nbsp;de mémoire cache, Hexa-Core) -&nbsp;Systéme d'exploitation:&nbsp;FreeDos&nbsp;- Mémoire RAM:&nbsp;8 Go&nbsp;DDR4&nbsp;-&nbsp;Disque dur:&nbsp;1 To HDD&nbsp;+&nbsp;128Go SSD&nbsp;- Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050Ti&nbsp;avec&nbsp;(4&nbsp;Go&nbsp;&nbsp;de mémoire dédiée&nbsp;GDDR5) avec&nbsp;Wi-Fi&nbsp;et&nbsp;Bluetooth&nbsp;- Couleur: Noir -&nbsp;Garantie: 1 an...",https://www.mytek.tn/pc-gamer-/20675-pc-portable-gamer-dell-i7-8e-gen-8go-1to-128ssd-noir-3579g3i7.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/6/0/3/64603-product_category.jpg
19,Pc Portable MSI PE727RD-1230FR i7 7é Gén 8Go 1To+128Go SSD,"3 229,000 DT","Ecran&nbsp;17.3""&nbsp;FULL HD&nbsp;(1920 x 1080 pixels) -&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-7700HQ&nbsp;7ème Génération&nbsp;(2.8 GHz&nbsp;up to&nbsp;3.8 GHz Turbo,&nbsp;6 Mo&nbsp;de mémoire cache,&nbsp;Quad-Core) -&nbsp;Systéme d'exploitation:&nbsp;Windows 10&nbsp;- Mémoire RAM:&nbsp;8 Go&nbsp;DDR4&nbsp;-&nbsp;Disque dur:&nbsp;1To + 128Go SSD&nbsp;- Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050&nbsp;avec&nbsp;(4&nbsp;Go&nbsp;de mémoire dédiée&nbsp;GDDR5) avec&nbsp;Wi-Fi&nbsp;et&nbsp;Bluetooth&nbsp;-...",https://www.mytek.tn/pc-gamer-/20541-pc-portable-msi-pe727rd-1230fr-i7-7e-gen-8go-1to128go-ssd.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/3/4/5/64345-product_category.jpg
20,Pc Portable Gamer DELL G5 5587 i7 8è Gén 16Go 1To + 128SSD Noir (210-AOVTG),"3 545,000 DT","Ecran&nbsp;15.6"" Full HD IPS rétroéclairé&nbsp;&nbsp;(1920*1080 px)-&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-8750H&nbsp;8ème Génération&nbsp;(2.2 GHz&nbsp;up to&nbsp;4.10 GHz, 9&nbsp;Mo&nbsp;de mémoire cache, Hexa-Core) -&nbsp;Systéme d'exploitation:&nbsp;Ubuntu Linux&nbsp;&nbsp;- Mémoire RAM: 16&nbsp;Go DDR4&nbsp;-&nbsp;Disque dur:&nbsp;1To, 5400rpm&nbsp;+&nbsp;128Go SSD&nbsp;- Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050Ti&nbsp;avec&nbsp;(4&nbsp;Go&nbsp;de mémoire dédiée&nbsp;GDDR5) avec&nbsp;Wi-Fi...",https://www.mytek.tn/pc-gamer-tunisie/20682-pc-portable-gamer-dell-i7-8e-gen-16go-1to-128ssd-noir-210-aovtg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/3/2/7/65327-product_category.jpg
21,Pc Portable Gamer DELL G5 5587 i7 8è Gén 16Go 1To + 128SSD Rouge (210-AOVTG),"3 545,000 DT","Ecran&nbsp;15.6"" Full HD IPS rétroéclairé&nbsp;&nbsp;(1920*1080 px)-&nbsp;Processeur:&nbsp;Intel Core&nbsp;i7-8750H&nbsp;8ème Génération&nbsp;(2.2 GHz&nbsp;up to&nbsp;4.10 GHz, 9&nbsp;Mo&nbsp;de mémoire cache, Hexa-Core) -&nbsp;Systéme d'exploitation:&nbsp;Ubuntu Linux&nbsp;&nbsp;- Mémoire RAM: 16&nbsp;Go DDR4&nbsp;-&nbsp;Disque dur:&nbsp;1To, 5400rpm&nbsp;+&nbsp;128Go SSD&nbsp;- Carte&nbsp;graphique&nbsp;NVIDIA GeForce GTX 1050Ti&nbsp;avec&nbsp;(4&nbsp;Go&nbsp;de mémoire dédiée&nbsp;GDDR5) avec&nbsp;Wi-Fi...",https://www.mytek.tn/pc-gamer-tunisie/20678-pc-portable-gamer-dell-i7-8e-gen-16go-1to-128ssd-rouge-210-aovtg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/3/3/1/65331-product_category.jpg
22,Pc Portable MSI GE727RE Apache Pro 7é Gén 8Go 1To +256SSD,"3 599,000 DT","Ecran&nbsp;17.3"" Full HD (1920 x 1080),&nbsp;Processeur:&nbsp;Intel®&nbsp;Core™ i7-700HQ(2.8 GHz up to 3.8 GHz, 6Mo de mémoire Cache),&nbsp;Systéme d'exploitation:&nbsp;Windows 10,&nbsp;Mémoire RAM:&nbsp;8Go DDR4 ,&nbsp;Disque Dur:&nbsp;1 To + 256&nbsp;Go SSD,&nbsp;Carte Graphique :GeForce® GTX 1050 T&nbsp;(4 Go&nbsp;GDDR5X&nbsp;de mémoire dédiée&nbsp;)&nbsp;avec Wi-Fi &nbsp;et&nbsp;Bluetooth&nbsp;-&nbsp;Garantie:&nbsp;2 ans Retrait en Magasin ou Livraison...",https://www.mytek.tn/pc-portable/13343-pc-portable-msi-ge727re-apache-pro-7e-gen-8go-1to-256ssd.html,https://d2j7t5u190oygv.cloudfront.net/img/p/4/9/5/8/0/49580-product_category.jpg
23,Pc Portable ASUS TUF Gaming FX505GE i7 8é Gén 16Go 1To,"3 899,000 DT","Ecran&nbsp;15,6""&nbsp;Full HD&nbsp;(1920 x1080 px) -&nbsp;Processeur:&nbsp;Intel® Core™&nbsp;i7-8750HQ&nbsp;8éme Génération, (2.2 Ghz&nbsp;up to&nbsp;4.1 Ghz, 9&nbsp;Mo&nbsp;de mémoire cache, Six-Core) -&nbsp;Système d'exploitation:&nbsp;FreeDos&nbsp;-&nbsp;Mémoire RAM:&nbsp;16Go&nbsp;DDR4&nbsp;-&nbsp;Disque Dur:&nbsp;1 To -&nbsp;Carte Graphique:&nbsp;NVIDIA® GeForce®&nbsp;GTX&nbsp;1050Ti&nbsp;(4Go&nbsp;GDDR5&nbsp;de mémoire dédiée&nbsp;) avec WiFi, Ethernet, Bluetooth -&nbsp;Clavier rétroéclairé...",https://www.mytek.tn/pc-gamer-/20925-pc-portable-asus-tuf-gaming-fx505ge-i7-8e-gen-16go-1to.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/1/1/5/65115-product_category.jpg
24,Pc Portable MSI GS63 7RE Stealth Pro 7é Gén 8Go 1To +128SSD,"4 199,000 DT","Ecran&nbsp;15.6"" Full HD (1920 x 1080),&nbsp;Processeur:&nbsp;Intel®&nbsp;Core™ i7-700HQ(2.8 GHz up to 3.8 GHz, 8Mo de mémoire Cache),&nbsp;Systéme d'exploitation:&nbsp;FreeDos,&nbsp;Mémoire RAM:&nbsp;8Go DDR4 ,&nbsp;Disque Dur:&nbsp;1 To +&nbsp;128 Go SSD,&nbsp;Carte Graphique:&nbsp;GeForce® GTX 1050 Ti (GDDR5X 4 Go&nbsp;)&nbsp;Wi-Fi&nbsp;AC&nbsp;et&nbsp;Bluetooth&nbsp;4.1&nbsp;,&nbsp;Garantie:&nbsp;2 ans Retrait en Magasin ou Livraison Gratuite pour Cet Article",https://www.mytek.tn/pc-portable/13334-pc-portable-msi-gs73-7re-stealth-pro-7e-gen-8go-1to-128ssd.html,https://d2j7t5u190oygv.cloudfront.net/img/p/4/9/5/6/4/49564-product_category.jpg
