ID,productName,price,processeur,freqProcesseur,mememoire,ecran,disqueDur,carteGraphique,desciption,linkToDetails,imgPath
24,Pc Portable HP STREAM 14-ax002nk Dual Core 2Go 32Go Bleu (2EQ40EA),"699,000 DT",Intel Celeron-Dual Core,"1,6 GHz, jusqu'à 2,48 GHz",2 Go,LED HD,32 Go eMMC,Graphique Intégrée,"Ecran 14.0"" HD LED - Processeur: Intel® Celeron® N3060 (1,6 GHz, jusqu'à 2,48 GHz, 2 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: Windows 10 - Mémoire: 2 Go SDRAM DDR3L - Disque Dur: 32 Go eMMC - Carte graphique: Intel® HD Graphics avec Wi-Fi® Bluetooth® - Garantie: 1an Retrait en Magasin ou Livraison Gratuite pour Cet Article",https://www.mytek.tn/pc-portable/19626-pc-portable-hp-stream-14-ax002nk-dual-core-2go-32go-bleu-2eq40ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/2/4/5/2/62452-product_category.jpg
25,PC Portable LENOVO IdeaPad 330 Dual Core 4Go 500Go Blanc(81D100BDFG),"709,000 DT",Intel Celeron-Dual Core,1.10 GHz Up To 2.60 GHz,4 Go,LED HD,500 Go,Graphique Intégrée,"Ecran 15.6"" LED HD (1366 x 768) - Processeur: Intel Celeron N4000 Dual-Core (1.10 GHz Up To 2.60 GHz, 4 Mo de mémoire cache) - Systéme D'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 500 Go - Carte graphique: Intel HD Graphics, avec Bluetooth, Webcam HD, HDMI, USB 3.0 - Couleur: Blanc - Garantie: 1 an + Sacoche LENOVO 15.6'' Retrait en...",https://www.mytek.tn/pc-portable/20310-pc-portable-lenovo-ideapad-330-dual-core-4go-500go-blanc81d100bdfg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/8/9/7/63897-product_category.jpg
26,PC Portable LENOVO IP330 Dual Core 4Go 500Go Bleu (81D100BCFG),"709,000 DT",Intel Celeron-Dual Core,1.10 GHz Up To 2.60 GHz,4 Go,LED HD,500 Go,Graphique Intégrée,"Ecran 15.6"" LED HD (1366 x 768) - Processeur: Intel Celeron N4000 Dual-Core (1.10 GHz Up To 2.60 GHz, 4 Mo de mémoire cache) - Systéme D'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 500 Go - Carte graphique: Intel HD Graphics, avec Bluetooth, Webcam HD, HDMI, USB 3.0 - Couleur: Bleu - Garantie: 1 an+ Sacoche LENOVO 15.6''Retrait en...",https://www.mytek.tn/pc-portable/19824-pc-portable-lenovo-ip330-dual-core-4go-500go-bleu-81d100bcfg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/0/7/5/63075-product_category.jpg
27,PC Portable LENOVO IP330 Dual Core 4Go 500Go Silver (81D100BBFG),"709,000 DT",Intel Celeron-Dual Core,1.10 GHz Up To 2.60 GHz,4 Go,LED HD,500 Go,Graphique Intégrée,"Ecran 15.6"" LED HD (1366 x 768) - Processeur: Intel Celeron N4000 Dual-Core (1.10 GHz Up To 2.60 GHz, 4 Mo de mémoire cache) - Systéme D'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 500 Go - Carte graphique: Intel HD Graphics, avec Bluetooth, Webcam HD, HDMI, USB 3.0 - Couleur: Silver - Garantie: 1 an+ Sacoche LENOVO 15.6''Retrait en...",https://www.mytek.tn/pc-portable/19917-pc-portable-lenovo-ip330-dual-core-4go-500go-silver-81d100bbfg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/0/7/0/63070-product_category.jpg
28,PC Portable LENOVO IP330 Dual Core 4Go 500Go Chocolat (81D100BEFG),"709,000 DT",Intel Celeron-Dual Core,1.10 GHz Up To 2.60 GHz,4 Go,LED HD,500 Go,Graphique Intégrée,"Ecran 15.6"" LED HD (1366 x 768) - Processeur: Intel Celeron N4000 Dual-Core (1.10 GHz Up To 2.60 GHz, 4 Mo de mémoire cache) - Systéme D'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 500 Go - Carte graphique: Intel HD Graphics, avec Bluetooth, Webcam HD, HDMI, USB 3.0 - Couleur: Chocolat - Garantie: 1 an+ Sacoche LENOVO 15.6''Retrait en...",https://www.mytek.tn/pc-portable/19913-pc-portable-lenovo-ip330-dual-core-4go-500go-silver-81d100bbfg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/2/5/4/63254-product_category.jpg
29,PC Portable ASUS VivoBook Max X541NA Quad-Core 4Go 500Go Silver,"725,000 DT",Intel Pentium-Quad Core,up to 2.5 Ghz,4 Go,LED HD,500 Go,Graphique Intégrée,"Ecran 15.6"" HD LED, Processeur Intel Pentium Quad-Core N4200 (up to 2.5 Ghz - 2 Mo de mémoire cache), Systéme d'exploitation: FreeDOS, Mémoire RAM: 4 Go, Disque Dur: 500Go, Carte graphique: Intel HD Graphics, avec Wifi, Bluetooth, Webcam, Couleur: Silver -Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",https://www.mytek.tn/pc-portable/12443-pc-portable-asus-pen-n4200-4go-500go-silver.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/3/2/7/7/53277-product_category.jpg
30,PC Portable HP Notebook 15-ra038nk Quad-Core 4Go 500Go (3FZ03EA),"735,000 DT",Intel Pentium-Quad Core,"1,6 GHz Up To 2,56 Ghz",4 Go,LED HD,500 Go,Graphique Intégrée,"Ecran: 15.6"" HD LED rétroéclairé, Processeur: Intel Pentium N3710 (1,6 GHz Up To 2,56 GHz, 2 Mo de mémoire cache, 4 cœurs), Systéme d'exploitation: FreeDos, Mémoire RAM 4 Go DDR3L, Disque Dur: 500 Go HDD, 5400 tr/min, Carte Graphique: Intel HD 405 avec USB 3.1, HDMI, RJ45 et Lecteur de Carte - Autonomie de Batterie: 11 heures et 45 min - Couleur: Noir -...",https://www.mytek.tn/pc-portable/16751-pc-portable-hp-notebook-15-ra038nk-quad-core-4go-500go-3fz03ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/5/8/4/4/55844-product_category.jpg
31,PC Portable SCHNEIDER SCL142ALDDP Dual-Core 4Go 32Go eMMC,"799,000 DT",Intel Celeron-Dual Core,1.1 GHz jusqu'à 2.4 GHz,,IPS Full HD,32 Go eMMC,Graphique Intégrée,"Ecran 14.1"" IPS Full HD (1920 x 1080 px) - Processeur: Intel Celeron N3350 Dual-Core (1,1 GHz up to 2.4 Ghz, 2 Mo de Mémoire cache) - Systéme d'exploitation: Windows 10 - Mémoire RAM: 4 Go - Disque Dur: 32 Go eMMC - Carte graphique: Intel HD Graphics, avec USB 3.0, Mini HDMI, Wifi, et Webcam 0.3 MP - Garantie: 2 ans Retrait en Magasin ou Livraison...",https://www.mytek.tn/pc-portable/18030-pc-portable-schneider-scl142alddp-dual-core-4go-32go-emmc.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/9/3/1/9/59319-product_category.jpg
32,PC Portable HP 15-da0002nk Dual Core 4Go 1To Silver (4CA00EA),"815,000 DT",Intel Celeron-Dual Core,,4 Go,LED HD,1 To,Graphique Intégrée,"Ecran 15.6"" HD LED (1366 x 768) - Processeur Intel Celeron N4000 (1.10 GHz, jusqu'à 2.6 GHz, 4 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 1 To SATA, (5400 tr/ min) - Carte Graphique: Intel HD Graphics avec USB 3.1, Bluetooth 4.2, HDMI, et Lecteur de Carte Mémoire - Couleur: Silver - Garantie:...",https://www.mytek.tn/pc-portable/21012-pc-portable-hp-15-da0002nk-dual-core-4go-1to-silver-4ca00ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/2/9/8/65298-product_category.jpg
33,PC Portable HP 15-da0003nk Dual Core 4Go 1To Blanc (4BY91EA),"815,000 DT",Intel Celeron-Dual Core,"1.10 GHz, jusqu'à 2.6 GHz",4 Go,LED HD,1 To,Graphique Intégrée,"Ecran 15.6"" HD LED (1366 x 768) - Processeur Intel Celeron N4000 (1.10 GHz, jusqu'à 2.6 GHz, 4 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM 4 Go DDR4 - Disque Dur: 1 To SATA, (5400 tr/ min) - Carte Graphique: Intel UHD 600 avec USB 3.1, Bluetooth 4.2, HDMI, et Lecteur de Carte Mémoire - Couleur: Blanc - Garantie 1 an...",https://www.mytek.tn/pc-portable/20413-pc-portable-hp-15-da0003nk-dual-core-4go-1to-blanc-4by91ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/1/1/5/64115-product_category.jpg
34,PC Portable HP 15 da0002nk Dual-Core 4Go 1To Bleu (4BY05EA),"815,000 DT",Intel Celeron-Dual Core,"1.10 GHz, jusqu'à 2.6 GHz",4 Go,LED HD,1 To,Graphique Intégrée,"Ecran 15.6"" HD LED (1366 x 768) - Processeur Intel Celeron N4000 (1.10 GHz, jusqu'à 2.6 GHz, 4 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM 4 Go DDR4 - Disque Dur: 1 To SATA, (5400 tr/ min) - Carte Graphique: Intel UHD 600 avec USB 3.1, Bluetooth 4.2, HDMI, et Lecteur de Carte Mémoire - Couleur: Bleu - Garantie 1 an...",https://www.mytek.tn/pc-portable/19823-pc-portable-hp-15-da0002nk-dual-core-4go-1to-bleu-4by05ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/4/6/9/63469-product_category.jpg
35,PC Portable LENOVO 330 N4000 4Go 500Go Silver (81D100BAFG),"899,000 DT",Intel Celeron-Dual Core,1.10 GHz Up To 2.60 GHz,4 Go,HD,500 Go,AMD Readon,"Ecran 15.6"" HD (1366 x 768 pixels) - Processeur: Intel Celeron N4000 Dual-Core (1.10 GHz Up To 2.60 GHz, 4 Mo de mémoire cache) - Systéme D'exploitation: FreeDos - Mémoire RAM: 4 Go - Disque Dur: 500 Go - Carte graphique: AMD Radeon 530 (2Go Dédiée), avec Bluetooth, Webcam - Couleur: Silver - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour...",https://www.mytek.tn/pc-portable/20386-pc-portable-lenovo-330-n4000-4go-500go-silver-81d100bafg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/0/3/1/64031-product_category.jpg
36,PC Portable LENOVO IP330-15IGM Dual Core 4Go 500Go Noir (81D100B9FG),"899,000 DT",Intel Celeron-Dual Core,1.10 GHz Up To 2.60 GHz,4 Go,LED HD,1 To,AMD Readon,"Ecran 15.6"" LED HD (1366 x 768) - Processeur: Intel Celeron N4000 (1.10 GHz Up To 2.60 GHz, 4 Mo de mémoire cache, Dual-Core) - Systéme D'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 500 Go - Carte graphique: AMD RADEON 530 (2Go de Mémoire Dédiée GDDR5), avec Bluetooth, Webcam HD, HDMI, USB 3.0 - Couleur: Noir - Garantie: 1 an Retrait en...",https://www.mytek.tn/pc-portable/20385-pc-portable-lenovo-ip330-15igm-dual-core-4go-500go-noir-81d100b9fg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/0/3/4/64034-product_category.jpg
37,Pc Portable ASUS VivoBook Max X541UA i3 6é Gén 4Go 500Go,"949,000 DT",Intel Core i3,2.0 GHz,4 Go,LED HD,500 Go,Graphique Intégrée,"Ecran 15.6"" HD LED, Processeur: Intel® Core ™ i3-6006U 6éme génération (2.0 GHz, 3 Mo de mémoire cache), Systéme d'exploitation: FreeDos - Mémoire RAM: 4 Go, Disque Dur: 500 Go, Carte graphique: Intel HD Graphics - avec Wifi, Ethernet - Couleur: Rouge - Garantie 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",https://www.mytek.tn/pc-portable/20504-pc-portable-asus-vivobook-max-x541ua-i3-6e-gen-4go-500go.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/2/7/0/64270-product_category.jpg
38,PC Portable ASUS X541UA i3 6ème Gén 4Go 500Go -SILVER,"949,000 DT",Intel Core i3,2.0 Ghz,4 Go,LED HD,500 Go,Graphique Intégrée,"Ecran 15.6"" HD LED, Processeur: Intel® Core ™ i3-6006U 6ème Génération (2.0 GHz, 3 Mo de mémoire cache), Systéme d'exploitation: FreeDos - Mémoire RAM: 4 Go, Disque Dur: 500 Go, Carte graphique: Intel HD Graphics, avec USB 3.0 - HDMI - Wifi et Ethernet - Couleur: Silver - Garantie 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",https://www.mytek.tn/pc-portable/11540-pc-portable-asus-x541ua-i3-6eme-gen-4go-500go-silver.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/3/2/8/2/53282-product_category.jpg
