ID,productName,price,processeur,freqProcesseur,mememoire,ecran,disqueDur,carteGraphique,desciption,linkToDetails,imgPath
39,PC Portable ASUS X541UA i3 6ème Gén 4Go 500Go - Noir,"949,000 DT",Intel Core i3,2.0 GHz,4 Go,HD,500 Go,Graphique Intégrée,"Ecran 15.6"" HD LED, Processeur: Intel® Core ™ i3-6006U 6ème Génération (2.0 GHz, 3 Mo de mémoire cache), Systéme d'exploitation: FreeDos - Mémoire RAM: 4 Go, Disque Dur: 500 Go, Carte graphique: Intel HD Graphics - avec Wifi, Ethernet - Couleur: Noir - Garantie 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",https://www.mytek.tn/pc-portable/11539-pc-portable-asus-x541ua-i3-6eme-gen-4go-500go-noir.html,https://d2j7t5u190oygv.cloudfront.net/img/p/5/3/2/8/5/53285-product_category.jpg
40,PC Portable LENOVO V110 i3 6è Gén 4Go 1To Noir (80TL01CYFE),"1 009,000 DT",Intel Core i3,2 GHz,4 Go,HD,1 To,Graphique Intégrée,"Ecran 15.6"" HD (1366 x 768) - Processeur: Intel Core I3-6006U (2 GHz , 3Mo de mémoire cache, Dual-Core) - Systéme D'exploitation: FreeDos - Mémoire RAM: 4 Go - Disque Dur: 1 To - Carte graphique: Intel HD Graphics , avec Bluetooth, Webcam, HDMI, USB 3.0 - Couleur: Noir - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",https://www.mytek.tn/pc-portable/20919-pc-portable-lenovo-v110-i3-6e-gen-4go-1to-noir-80tl01cyfe.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/1/0/7/65107-product_category.jpg
41,PC Portable LENOVO IP330-15IKB i3 7è Gén 4Go 1To Bleu (81DE00YVFG),"1 019,000 DT",Intel Core i3,"2,30 GHZ",4 Go,LED HD,1 To,Graphique Intégrée,"Ecran 15.6"" LED HD (1366 x 768 px) - Processeur: Intel Core i3-7020U 7ème génération (2,30 GHz, 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 4Go DDR4 - Disque Dur: 1 To (5400 rpm) - Carte Graphique: Intel HD Graphics avec USB 3.0, HDMI, Wifi - Couleur: Bleu - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite...",https://www.mytek.tn/pc-portable/19834-pc-portable-lenovo-ip330-15ikb-i3-7e-gen-4go-1to-bleu-81de00yvfg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/6/2/5/63625-product_category.jpg
42,PC Portable LENOVO IP330-15IKB i3 7è Gén 4Go 1To Silver (81DE00YHFG),"1 019,000 DT",Intel Core i3,"2,30 GHZ",4 Go,LED HD,1 To,Graphique Intégrée,"Ecran 15.6"" LED HD (1366 x 768 px) - Processeur: Intel Core i3-7020U 7ème génération (2,30 GHz, 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 4Go DDR4 - Disque Dur: 1 To (5400 rpm) - Carte Graphique: Intel HD Graphics avec USB 3.0, HDMI, Wifi - Couleur: Silver - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite...",https://www.mytek.tn/pc-portable/19833-pc-portable-lenovo-ip330-15ikb-i3-7e-gen-4go-1to-silver-81de00yhfg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/6/2/7/63627-product_category.jpg
43,PC Portable ASUS VIVOBOOK FLIP CEL N3350 Quad-Core 2Go 500Go- Gray,"1 039,000 DT",Intel Celeron-Dual Core,up to 2.4 GHz,2 Go,LED HD,500 Go,Graphique Intégrée,"Ecran 11.6"" LED HD Tactile - Processeur: Intel Celeron Dual-Core N3350 (Dual-Core, up to 2.4 GHz, 2 Mo de mémoire Cache)- Systéme d'exploitation: Windows 10 - Mémoire RAM: 2 Go, Disque Dur: 500Go - Carte Graphique :Intel HD Graphics , avec WiFi, WebCam, Micro HDMI, Bluetooth, Couleur: Gris - Garantie 2 ans Retrait en Magasin ou Livraison Gratuite...",https://www.mytek.tn/pc-portable/13517-pc-portable-asus-vivobook-flip-quad-core-4go-32go-win10.html,https://d2j7t5u190oygv.cloudfront.net/img/p/4/9/8/6/4/49864-product_category.jpg
44,PC Portable ASUS VIVOBOOK FLIP CEL N3350 Quad-Core 2Go 500Go- Gold,"1 045,000 DT",Intel Celeron-Dual Core,,2 Go,LED HD,500 Go,Graphique Intégrée,"Ecran 11.6"" LED HD Tactile - Processeur: Intel Celeron Dual-Core N3350 (Dual-Core, up to 2.4 GHz, 2 Mo de mémoire Cache)- Systéme d'exploitation: Windows 10 - Mémoire RAM: 2 Go, Disque Dur: 500Go - Carte Graphique :Intel HD Graphics , avec WiFi, WebCam, Micro HDMI, Bluetooth, Couleur: Gold, Garantie 2 ans Retrait en Magasin ou Livraison Gratuite pour...",https://www.mytek.tn/pc-portable/13521-pc-portable-asus-vivobook-flip-cel-n3350-quad-core-2go-500go-gold.html,https://d2j7t5u190oygv.cloudfront.net/img/p/4/9/8/7/2/49872-product_category.jpg
45,Pc Portable DELL Inspiron 3567 i3 7è Gén 4Go 1To Rouge,"1 099,000 DT",Intel Core i3,2.3 GHz,4 Go,LED HD,1 To,Graphique Intégrée,"Ecran 15.6"" LED HD (1366 x 768 px) - Processeur: Intel Core i3-7020U 7éme Génération ( 2.3 GHz , 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: Ubuntu Linux - Mémoire RAM: 4 Go DDR4 - Disque Dur: 1To HDD 5400 tr/min - Carte Graphique: Intel HD 620 avec USB 3.0, HDMI, Lecteur de Carte Mémoire, Wifi et Bluetooth - Couleur: Rouge - Garantie: 1...",https://www.mytek.tn/pc-portable/20674-pc-portable-dell-inspiron-3567-i3-7e-gen-4go-1to-rouge.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/5/9/4/64594-product_category.jpg
46,Pc Portable DELL Inspiron 3567 i3 7è Gén 4Go 1To Noir,"1 099,000 DT",Intel Core i3,2.3 GHz,4 Go,LED HD,1 To,Graphique Intégrée,"Ecran 15.6"" LED HD (1366 x 768 px) - Processeur: Intel Core i3-7020U 7éme Génération ( 2.3 GHz , 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: Ubuntu Linux - Mémoire RAM: 4 Go DDR4 - Disque Dur: 1To HDD 5400 tr/min - Carte Graphique: Intel HD 620 avec USB 3.0, HDMI, Lecteur de Carte Mémoire, Wifi et Bluetooth - Couleur: Noir - Garantie: 1...",https://www.mytek.tn/pc-portable/20668-pc-portable-dell-inspiron-3567-i3-7e-gen-4go-1to-noir.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/5/7/8/64578-product_category.jpg
47,Pc Portable DELL Inspiron 3567 i3 7è Gén 4Go 1To Gris,"1 099,000 DT",Intel Core i3,2.3 GHz,4 Go,LED HD,1 To,Graphique Intégrée,"Ecran 15.6"" LED HD (1366 x 768 px) - Processeur: Intel Core i3-7020U 7éme Génération ( 2.3 GHz , 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: Ubuntu Linux - Mémoire RAM: 4 Go DDR4 - Disque Dur: 1To HDD 5400 tr/min - Carte Graphique: Intel HD 620 avec USB 3.0, HDMI, Lecteur de Carte Mémoire, Wifi et Bluetooth - Couleur: Gris - Garantie: 1...",https://www.mytek.tn/pc-portable/20671-pc-portable-dell-inspiron-3567-i3-7e-gen-4go-1to-gris.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/5/8/4/64584-product_category.jpg
48,Pc Portable HP X360-11-AB003NK Quad Core 4Go 500Go (1JL06EA),"1 129,000 DT",Intel Pentium-Quad Core,"1,6 GHz",4 Go,HD,500 Go,Graphique Intégrée,"Ecran 11.6"" HD IPS, Processeur Intel® Pentium® N3710 (1,6 GHz, jusqu’à 2,56 GHz, 2Mo de mémoire cache, 4 cœurs), Systéme d'exploitation: Windows 10 Famille 64, Mémoire RAM 4 Go, Disque Dur: 500 Go SATA, 5400 tr/min, Carte Graphique: Intel® HD 405 , avec WiFi, Bluetooth, Garantie 1 an- Facilite sur 6 mois 185 DT, 9 mois 128DT et 12 mois 100DT.",https://www.mytek.tn/pc-portable/11206-pc-portable-hp-x360-11-ab003nk-quad-core-4go-500go-1jl06ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/4/5/9/5/6/45956-product_category.jpg
49,PC Portable HP 15-DA0005NK i3 7è Gén 4Go 1To - Bleu (4BY23EA),"1 165,000 DT",Intel Core i3,2.3 GHz,4 Go,HD,1 To,Graphique Intégrée,"Ecran 15.6"" HD rétroéclairé WLED (1366 x 768) - Processeur: Intel® Core™ i3-7020U 7éme Génération ( 2.3 GHz, 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation : Free Dos - Mémoire: 4 Go SDRAM DDR4-2133 - Disque dur: 1To HDD - Carte graphique: Intel® HD 620, avec USB 3.1, HDMI, Wifi et Bluetooth - Couleur: Bleu - Garantie: 1 an Retrait en Magasin...",https://www.mytek.tn/pc-portable/18517-pc-portable-hp-15-da0005nk-i3-7e-gen-4go-1to-bleu-4by23ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/0/2/4/0/60240-product_category.jpg
50,PC Portable HP 15-DA0001NK i3 7è Gén 4Go 1To Blanc (4BY81EA),"1 165,000 DT",Intel Core i3,2.3 GHz,4 Go,HD,1 To,Graphique Intégrée,"Ecran 15.6"" HD rétroéclairé WLED (1366 x 768) - Processeur: Intel® Core™ i3-7020U 7éme Génération ( 2.3 GHz, 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation : Free Dos - Mémoire: 4 Go SDRAM DDR4-2133 - Disque dur: 1To HDD - Carte graphique: Intel® HD 620, avec USB 3.1, HDMI, Wifi et Bluetooth - Couleur: Blanc - Garantie: 1 an Retrait en Magasin...",https://www.mytek.tn/pc-portable/18719-pc-portable-hp-15-da0001nk-i3-7e-gen-4go-1to-4by81ea-blanc.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/0/7/0/1/60701-product_category.jpg
51,Pc Portable HP 15-DA0006NK i3 7è Gén 4Go 1To (4BX73EA) Silver,"1 165,000 DT",Intel Core i3,2.3 GHz,4 Go,HD,1 To,Graphique Intégrée,"Ecran 15.6 HD rétroéclairé WLED (1366 x 768 pixels) - Processeur Intel Core i3-7020U 7éme Génération (2.3 GHz, 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 4 Go SDRAM DDR4-2133 - Disque Dur: 1 To 5400 tr/min - Carte Graphique: Intel® HD 620 avec WiFi, USB 3.1, HDMI - Couleur: Silver - Garantie: 1 an Retrait en Magasin...",https://www.mytek.tn/pc-portable/18718-pc-portable-hp-15-da0006nk-i3-7e-gen-4go-1to-4bx73ea-silver.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/0/6/9/5/60695-product_category.jpg
52,PC Portable HP 15-DA0007NK i3 7è Gén 4Go 1To - Noir (4BY72EA),"1 165,000 DT",Intel Core i3,2.3 GHz,4 Go,HD,1 To,Graphique Intégrée,"Ecran 15.6"" HD rétroéclairé WLED (1366 x 768) - Processeur: Intel® Core™ i3-7020U 7éme Génération ( 2.3 GHz, 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation : Free Dos - Mémoire: 4 Go SDRAM DDR4-2133 - Disque dur: 1To HDD - Carte graphique: Intel® HD 620, avec USB 3.1, HDMI, Wifi et Bluetooth - Couleur: Noir - Garantie: 1 an Retrait en Magasin...",https://www.mytek.tn/pc-portable/18518-pc-portable-hp-15-da0007nk-i3-7e-gen-4go-1to-noir-4by72ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/0/2/4/3/60243-product_category.jpg
53,PC Portable LENOVO ideapad 130-15IKB i3 8è Gén 4Go 1To Noir (81H7001FFG),"1 239,000 DT",Intel Core i3,2.20 GHz Up To 3.40 GHz,4 Go,LED HD,1 To,Nvidia GeForce,"Ecran 15.6"" LED HD (1366 x 768) - Processeur: Intel Core i3-8130U (2.20 GHz Up To 3.40 GHz, 4 Mo de mémoire cache, Dual-Core) - Systéme D'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 1 To - Carte graphique: NVIDIA GeForce MX110 (2Go de Mémoire Dédiée GDDR5), avec Bluetooth, Webcam HD, HDMI, USB 3.0 - Couleur: Noir - Garantie: 1 an Retrait...",https://www.mytek.tn/pc-portable/20387-pc-portable-lenovo-ideapad-130-15ikb-i3-8e-gen-4go-1to-gris-81h7001ffg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/0/7/6/65076-product_category.jpg
54,PC Portable ASUS VivoBook Max X540UB i3 8è Gén 8Go 1To Noir (X540UB-GO653),"1 329,000 DT",Intel Core i3,2.20 GHz up to 3.40 GHz,8 Go,LED HD,1 To,Nvidia GeForce,"Ecran 15.6"" HD LED, (1366 x 768) Processeur: Intel Core I3-8130U 8éme Génération (2.20 GHz up to 3.40 GHz, 4 Mo de mémoire cache , Dual-Core), Systéme d'exploitation: FreeDos - Mémoire RAM: 8 Go, Disque Dur: 1To, Carte graphique: NVIDIA GeForce MX110 (2 Go de mémoire GDDR5 dédiée) - Connectivité: USB 3.0, HDMI, Lecteur de Carte Mémoire et Wifi -...",https://www.mytek.tn/pc-portable/20466-pc-portable-asus-x540ub-i3-8e-gen-8go-1to-noir-x540ub-go653.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/2/0/9/64209-product_category.jpg
55,Pc Portable ASUS ViviBooK Max X540UB i3 8è Gén 8Go 1To Silver,"1 329,000 DT",Intel Core i3,2.20 GHz up to 3.40 GHz,8 Go,LED HD,1 To,Nvidia GeForce,"Ecran 15.6"" HD LED, (1366 x 768) Processeur: Intel® Core™ I3-8130U 8éme Génération (2.20 GHz up to 3.40 GHz, 4 Mo de mémoire cache , Dual-Core), Systéme d'exploitation: FreeDos - Mémoire RAM: 8 Go, Disque Dur: 1To, Carte graphique: NVIDIA GeForce MX110 (2 Go de mémoire GDDR5 dédiée) - Connectivité: Wifi- Couleur: Silver - Garantie:1 an Retrait en...",https://www.mytek.tn/pc-portable/20443-pc-portable-asus-vivibook-max-x541uv-i3-6e-gen-8go-1to-silver.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/1/7/4/64174-product_category.jpg
56,PC Portable HP 15-DA0009NK i3 7è Gén 4Go 1To - Noir (4BZ32EA),"1 359,000 DT",Intel Core i3,2.3 GHz,4 Go,HD,1 To,Nvidia GeForce,"Ecran 15.6"" HD rétroéclairé WLED (1366 x 768) - Processeur: Intel® Core™ i3-7020U 7éme Génération ( 2.3 GHz, 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation : Free Dos - Mémoire: 4 Go SDRAM DDR4-2133 - Disque dur: 1To HDD - Carte graphique: NVIDIA GeForce (2 Go de mémoire dédiées), avec USB 3.1, HDMI, Wifi et Bluetooth - Couleur: Noir -...",https://www.mytek.tn/pc-portable/18723-pc-portable-hp-15-da0009nk-i3-7e-gen-4go-1to-noir-4bz32ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/0/7/1/3/60713-product_category.jpg
57,PC Portable HP 15-DA0011NK i3 7è Gén 4Go 1To Blanc (4BZ19EA),"1 359,000 DT",Intel Core i3,2.3 GHz,4 Go,HD,1 To,Nvidia GeForce,"Ecran 15.6"" HD rétroéclairé WLED (1366 x 768) - Processeur: Intel® Core™ i3-7020U 7éme Génération ( 2.3 GHz, 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation : Free Dos - Mémoire: 4 Go SDRAM DDR4-2133 - Disque dur: 1To HDD - Carte graphique: NVIDIA GeForce (2 Go de mémoire dédiées), avec USB 3.1, HDMI, Wifi et Bluetooth - Couleur: Blanc -...",https://www.mytek.tn/pc-portable/18724-pc-portable-hp-15-da0011nk-i3-7e-gen-4go-1to-blanc-4bz19ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/0/7/2/0/60720-product_category.jpg
58,Pc Portable DELL Inspiron 3567 i3 7è Gén 4Go 1To Gris (210-AJXF-I3),"1 369,000 DT",Intel Core i3,2.3 GHz,4 Go,LED HD,1 To,AMD Readon,"Ecran 15.6"" LED HD (1366 x 768 px) - Processeur: Intel Core i3-7020U 7éme Génération ( 2.3 GHz, 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: Ubuntu Linux - Mémoire RAM: 4 Go DDR4 - Disque Dur: 1To HDD 5400 tr/min - Carte Graphique: AMD Readon Graphics 520, (2 Go de mémoire dédiée) avec USB 3.0, HDMI, Lecteur de Carte Mémoire, Wifi et...",https://www.mytek.tn/pc-portable/20982-pc-portable-dell-inspiron-3567-i3-7e-gen-4go-1to-gris-210-ajxf-i3.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/2/2/6/65226-product_category.jpg
59,Pc Portable DELL Inspiron 3567 i3 7è Gén 4Go 1To Noir (210-AJXF-I3),"1 369,000 DT",Intel Core i3,2.3 GHz,4 Go,LED HD,1 To,AMD Readon,"Ecran 15.6"" LED HD (1366 x 768 px) - Processeur: Intel Core i3-7020U 7éme Génération ( 2.3 GHz, 3 Mo de mémoire cache, Dual-Core) - Systéme d'exploitation: Ubuntu Linux - Mémoire RAM: 4 Go DDR4 - Disque Dur: 1To HDD 5400 tr/min - Carte Graphique: AMD Readon Graphics 520, (2 Go de mémoire dédiée) avec USB 3.0, HDMI, Lecteur de Carte Mémoire, Wifi et...",https://www.mytek.tn/pc-portable/20803-pc-portable-dell-inspiron-3567-i3-7e-gen-4go-1to-noir-210-ajxf-i3.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/8/6/7/64867-product_category.jpg
60,Pc Portable LENOVO V330 i5 8è Gén 4Go 500 Go (81AX0026FE),"1 469,000 DT",Intel Core i5,"1,60 GHz up to 3,40 GHz",4 Go,FULL HD,500 Go,Graphique Intégrée,"Ecran 15.6"" Full HD (1920 x 1080) - Processeur: Intel Core i5-8250U 8ème génération (1,60 GHz up to 3,40 GHz, 6Mo de mémoire Cache, Quad-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 500 Go, 5 400 trs/min - Carte graphique: Intel HD Graphics, avec Wifi, Bluetooth - lecteur d'empreintes digitales - Garantie: 1 an Retrait...",https://www.mytek.tn/pc-portable/20922-pc-portable-lenovo-v330-i5-8e-gen-4go-500-go-81ax0026fe.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/1/1/2/65112-product_category.jpg
61,PC Portable LENOVO IdeaPad 130 i5 8è Gén 4Go 1To Noir (81H7001CFG),"1 529,000 DT",Intel Core i5,"1,60 GHz up to 3,4 GHz",4 Go,LED FULL HD,1 To,Nvidia GeForce,"Ecran 15.6"" IPS Anti-glare Full HD (1920 x 1080 px) - Processeur: Intel Core i5-8250U 8ème génération (1,60 GHz up to 3,4 GHz, 6 Mo de mémoire cache, Quad-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 4Go DDR4 - Disque Dur: 1 To (5400 rpm) - Carte Graphique: Nvidia GeForce MX110 (2Go de mémoire dédiée GDDR5) avec USB 3.0, HDMI, Wifi - Couleur:...",https://www.mytek.tn/pc-portable/19426-pc-portable-lenovo-ideapad-130-i5-8e-gen-4go-1to-noir-81h7001cfg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/2/1/0/2/62102-product_category.jpg
62,PC Portable LENOVO IdeaPad 330 i5 8è Gén 4Go 1To Gris (81DE00YMFG),"1 589,000 DT",Intel Core i5,1.60 GHz Up To 3.40 GHz,4 Go,LED FULL HD,1 To,AMD Readon,"Ecran 15.6"" Full HD (1920 x 1080) - Processeur i5-8250U 8ème Génération (1.60 GHz Up To 3.40 GHz, 6 Mo de mémoire cache, Quad-Core) - Systéme D'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 1 To - Carte graphique: AMD Radeon 520 (2Go de Mémoire GDDR5 Dédiée), avec USB 3.0 Type-C, USB 3.0, HDMI, Bluetooth, et Lecteur de Carte Mémoire 4 En 1...",https://www.mytek.tn/pc-portable/21010-pc-portable-lenovo-ideapad-330-i5-8e-gen-4go-1to-gris-81de00ymfg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/5/2/9/2/65292-product_category.jpg
63,Pc Portable ASUS VivoBook Max X541UV I5 7é Gén 8Go 1To - Blanc,"1 599,000 DT",Intel Core i5,2.5 GHz up to 3.1 GHz,8 Go,LED HD,1 To,Nvidia GeForce,"Ecran 15.6"" HD LED - Résolution: 1366 x 768 px - Processeur: Intel® Core™ i5-7200U 7ème Génération (2.5 GHz up to 3.1 GHz, 3 Mo de mémoire cache) - Systéme d'exploitation: Free Dos - Mémoire RAM: 8 Go - Disque Dur: 1 To HDD, 5400 RPM - Carte graphique: Nvidia GeForce GT 920M (2 Go de mémoire dédiée) avec Wifi, Bluetooth, Webcam avec Micro - Couleur: Blanc...",https://www.mytek.tn/pc-portable/18990-pc-portable-asus-vivobook-max-x541uv-i5-7e-gen-8go-1to-blanc.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/1/2/7/5/61275-product_category.jpg
64,Pc Portable ASUS I5 8é Gén 8Go 1To Silver,"1 665,000 DT",Intel Core i5,"1,6 GHz",8 Go,,1 To,Nvidia GeForce,"Ecran 15.6"" HD LED - Processeur: Intel® Core™ I5-8250U 8ème Génération (1.6 GHz up to 3.4 GHz, 6 Mo de mémoire cache, Quad-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 8 Go - Disque Dur: 1 To - Carte graphique: Nvidia GeForce MX130 (2 Go de mémoire dédiée ) avec Wifi, Bluetooth- Couleur: Silver - Garantie 2 ans Retrait en Magasin ou Livraison...",https://www.mytek.tn/pc-portable/20019-pc-portable-asus-i5-8e-gen-8go-1to-silver.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/2/3/5/63235-product_category.jpg
65,Pc Portable ASUS X540UB I5 8é Gén 8Go 1To Noir,"1 665,000 DT",Intel Core i5,"1,6 GHz",8 Go,LED HD,1 To,Nvidia GeForce,"Ecran 15.6"" HD LED - Processeur: Intel® Core™ I5-8250U 8ème Génération (1.6 GHz up to 3.4 GHz, 6 Mo de mémoire cache, Quad-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 8 Go - Disque Dur: 1 To - Carte graphique: Nvidia GeForce MX130 (2 Go de mémoire dédiée ) avec Wifi, Bluetooth- Couleur: Noir - Garantie 2 ans Retrait en Magasin ou Livraison...",https://www.mytek.tn/pc-portable/20023-pc-portable-asus-i5-8e-gen-8go-1to-noir.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/3/6/0/4/63604-product_category.jpg
66,PC Portable HP ProBook 440 G4 i3 8è Gén 4Go 500Go (3QM70EA),"1 669,000 DT",Intel Core i3,"2.20 GHz, up to 3.40 GHz",4 Go,LED HD,500 Go,Graphique Intégrée,"Ecran 14"" HD LED Anti-reflets (1 366 x 768) - Processeur: Intel Core i3-8130U 8e génération (2.20 GHz, up to 3.40 GHz, 4Mo de mémoire Cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire: 4Go DDR4 - Disque Dur: 500Go - Carte Graphique: Intel UHD 620 Graphics avec USB 3.0, HDMI, VGA, RJ-45, et Lecteur de carte mémoire - Garantie: 1 an Retrait en...",https://www.mytek.tn/pc-portable/20798-pc-portable-hp-probook-440-g4-i3-8e-gen-4go-500go-3qm70ea.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/8/5/9/64859-product_category.jpg
67,PC Portable LENOVO IdeaPad 330 i5 8è Gén 8Go 1To Gris (81DE00YNFG),"1 669,000 DT",Intel Core i5,1.60 GHz Up To 3.40 GHz,8 Go,FULL HD,1 To,AMD Readon,"Ecran 15.6"" Full HD (1920 x 1080) - Processeur i5-8250U 8ème Génération (1.60 GHz Up To 3.40 GHz, 6 Mo de mémoire cache, Quad-Core) - Systéme D'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4 - Disque Dur: 1 To - Carte graphique: AMD Radeon 530 (2Go de Mémoire GDDR5 Dédiée), avec USB 3.0 Type-C, USB 3.0, HDMI, Bluetooth, et Lecteur de Carte Mémoire 4 En 1...",https://www.mytek.tn/pc-portable/20393-pc-portable-lenovo-ideapad-330-i5-8e-gen-8go-1to-gris-81de00ynfg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/0/5/5/64055-product_category.jpg
68,PC Portable LENOVO IdeaPad 330 i5 8è Gén 8Go 1To Gris (81DE0103FG),"1 669,000 DT",Intel Core i5,1.60 GHz Up To 3.40 GHz,8 Go,FULL HD,1 To,AMD Readon,"Ecran 15.6"" Full HD (1920 x 1080) - Processeur i5-8250U 8ème Génération (1.60 GHz Up To 3.40 GHz, 6 Mo de mémoire cache, Quad-Core) - Systéme D'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4 - Disque Dur: 1 To - Carte graphique: AMD Radeon 530 (2Go de Mémoire GDDR5 Dédiée), avec USB 3.0 Type-C, USB 3.0, HDMI, Bluetooth, et Lecteur de Carte Mémoire 4 En 1...",https://www.mytek.tn/pc-portable/20478-pc-portable-lenovo-ideapad-330-i5-8e-gen-8go-1to-gris-81de0103fg.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/2/2/0/64220-product_category.jpg
69,Pc Portable ASUS VivoBook Max X542UF I5 8é Gén 8Go 1To Gold,"1 675,000 DT",Intel Core i5,1.6 GHz up to 3.4 GHz,8 Go,LED HD,1 To,Nvidia GeForce,"Ecran 15.6"" HD LED - Processeur: Intel® Core™ i5-8250U 8ème Génération (1.6 GHz up to 3.4 GHz, 6 Mo de mémoire cache, Quad-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 8 Go - Disque Dur: 1 To HDD, 5400 RPM - Carte graphique: Nvidia GeForce MX130 (2 Go de mémoire dédiée ) avec Wifi, Bluetooth, Webcam avec Micro - Couleur: Gold - Garantie 2 ans...",https://www.mytek.tn/pc-portable/19225-pc-portable-asus-vivobook-max-x542uf-i5-8e-gen-8go-1to-gold.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/1/7/0/3/61703-product_category.jpg
70,Pc Portable ASUS VivoBook Max X541UJ I7 7é Gén 8Go 1To - Blanc,"1 709,000 DT",Intel Core i7,,8 Go,LED HD,1 To,Nvidia GeForce,"Ecran 15.6"" HD LED - Processeur: Intel Core i7-7500U 7ème Génération (2.7 Ghz up to 3.50 Ghz, 4 Mo de mémoire cache) - Systéme d'exploitation: FreeDos - Mémoire RAM: 8 Go - Disque Dur: 1To - Carte graphique: Nvidia GeForce GT920M, (2 Go de mémoire dédiée) - Lecteur de cartes - Wifi - Bluetooth - Webcam avec Micro - Couleur: Blanc - Garantie: 2 ans...",https://www.mytek.tn/pc-portable/10751-pc-portable-asus-x541ua-i7-7e-gen-8go-1to-blanc.html,https://d2j7t5u190oygv.cloudfront.net/img/p/4/5/2/1/7/45217-product_category.jpg
71,Pc Portable ASUS VIVOBOOK MAX X540UB I5 8é Gén 8Go 1To Silver,"1 719,000 DT",Intel Core i5,1.6 GHz up to 3.4 GHz,8 Go,LED HD,1 To,Nvidia GeForce,"Ecran 15.6"" HD LED (1366x768) - Processeur: Intel® Core™ I5-8250U 8ème Génération (1.6 GHz up to 3.4 GHz, 6 Mo de mémoire cache, Quad-Core) - Systéme d'exploitation: FreeDos - Mémoire RAM: 8 Go - Disque Dur: 1 To SATA HDD ,5400RPM - Carte graphique: Nvidia GeForce MX110 (2 Go de mémoire dédiée ) avec Wifi, Bluetooth,Caméra Web VGA- Couleur: Silver-...",https://www.mytek.tn/pc-portable/20497-pc-portable-asus-vivobook-max-x540ub-i5-8e-gen-8go-1to-silver.html,https://d2j7t5u190oygv.cloudfront.net/img/p/6/4/2/5/9/64259-product_category.jpg
