ID,productName,price,desciption,linkToDetails,imgPath,,,,,,,
11,ASUS,"665,000 DT","Ecran 15.6"" HD LED - Processeur&nbsp;Intel Celeron&nbsp;Dual Core N3350, up to 2.4 Ghz, 2 Mo de mémoire cache - Mémoire RAM 4 Go - Disque dur 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - Wifi - Bluetooth - USB 3.0 - HDMI - Webcam avec Micro - Couleur Blanc&nbsp;- Garantie 1 an",https://www.wiki.tn/pc-portable-asus-vivobook-max-x541na-dual-core-4-go-noir-7328.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
12,ASUS,"665,000 DT","Ecran&nbsp; 15.6"" HD LED , Processeur&nbsp;Intel celeron&nbsp;Dual Core N3350( up to 2.4 Ghz, 2 Mo de mémoire cache),&nbsp; Mémoire&nbsp; 4 Go,&nbsp; Disque&nbsp; 500 Go ,&nbsp; Carte graphique&nbsp; Intel HD Graphics , Graveur DVD , Lecteur de cartes , Wifi Bluetooth, USB 3.0 ,HDMI , Webcam avec Micro, couleur rouge , Garantie 1 an",https://www.wiki.tn/pc-portable-asus-vivobook-max-x541na-dual-core-4-go-noir-7326.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
13,ASUS,"665,000 DT","Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N3350, up to 2.4 Ghz, 2 Mo de mémoire cache - Mémoire RAM 4 Go - Disque dur&nbsp; 500 Go - Carte graphique&nbsp; Intel HD Graphics - Graveur DVD - Lecteur de cartes - Wifi - Bluetooth - USB 3.0 - HDMI - Webcam avec Micro - Couleur Silver&nbsp;- Garantie 1 an",https://www.wiki.tn/pc-portable-asus-vivobook-max-x541na-dual-core-4-go-noir-7327.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
14,ASUS,"665,000 DT","Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N3350, up to 2.4 Ghz, 2 Mo de mémoire cache - Mémoire RAM 4 Go - Disque dur&nbsp; 500 Go - Carte graphique&nbsp; Intel HD Graphics - Graveur DVD - Lecteur de cartes - Wifi - Bluetooth - USB 3.0 - HDMI - Webcam avec Micro - Couleur Silver&nbsp;- Garantie 1 an",https://www.wiki.tn/pc-portable-asus-vivobook-max-x541na-dual-core-4-go-noir-7327.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
15,ASUS,"665,000 DT","Ecran&nbsp;11.6""&nbsp;HD LED&nbsp; (1366 x 768px),&nbsp;Processeur&nbsp;Intel Celeron&nbsp;Dual-Core&nbsp;N4000&nbsp;,&nbsp;Systéme d'exploitation:&nbsp;FreeDos,&nbsp;Mémoire RAM:&nbsp;2&nbsp;GoDDR3L,&nbsp;Disque Dur:&nbsp;500 Go&nbsp;HDD,&nbsp;Carte graphique:&nbsp;Intel HD Graphics, avec USB 3.0 Type C, HDMI, VGA, Wifi, et Webcam, Couleur:&nbsp;rose -&nbsp;Garantie:&nbsp;1 an",https://www.wiki.tn/pc-portable-asus-e203mah-intel-celeron-dual-core-n4000-2go-500go-rose-11239.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
16,ASUS,"665,000 DT","Ecran&nbsp;15.6"" HD LED -&nbsp;Processeur&nbsp;Intel Celeron Dual Core N3350, up to 2.4 Ghz, 2 Mo de mémoire cache -&nbsp;Mémoire RAM&nbsp;4 Go &nbsp;DDR3-&nbsp;Disque dur&nbsp;&nbsp;500 Go -&nbsp;Carte graphique&nbsp; Intel HD Graphics -&nbsp;Graveur DVD&nbsp;-&nbsp;Lecteur de cartes&nbsp;-&nbsp;Wifi&nbsp;-&nbsp;Bluetooth - USB 3.0 - HDMI - Webcam avec Micro – Couleur: noir-&nbsp;Garantie: 1 an",https://www.wiki.tn/pc-portable-asus-vivobook-max-x541na-dual-core-4-go-silver-10992.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
17,ASUS,"669,000 DT","Ecran&nbsp;11.6""&nbsp;HD LED&nbsp; (1366 x 768px),&nbsp;Processeur&nbsp;: &nbsp;Intel Celeron&nbsp;Dual-Core&nbsp;N4000&nbsp;,&nbsp;Systéme d'exploitation:&nbsp;FreeDos,&nbsp;Mémoire RAM:&nbsp;2&nbsp;Go&nbsp;DDR3L,&nbsp;Disque Dur:&nbsp;500 Go&nbsp;HDD,&nbsp;Carte graphique:&nbsp;Intel HD Graphics, avec USB 3.0 Type C, HDMI, VGA, Wifi, et Webcam, Couleur:&nbsp;Gris-&nbsp;Garantie:&nbsp;1 an",https://www.wiki.tn/pc-portable-asus-e203mah-intel-celeron-dual-core-n4000-2go-500go-silver-11237.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
18,ASUS,"689,000 DT","Ecran 15.6"" HD LED (1366 x 768px), Processeur Intel Celeron N4000 , Systéme d'exploitation: FreeDos, Mémoire RAM: 4 Go DDR3L, Disque Dur: 500 Go HDD, Carte graphique: Intel HD Graphics, avec USB 3.0 Type C, HDMI, VGA, Wifi, et Webcam, Couleur: Gris – Garantie: 1 an",https://www.wiki.tn/pc-portable-asus-vivobook-max-x540ma-dual-core-4-go-500-go-gris-11230.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
19,ASUS,"689,000 DT","Ecran&nbsp;:15.6""&nbsp;HD LED&nbsp; (1366 x 768px),&nbsp;Processeur&nbsp;Intel Celeron&nbsp;&nbsp;N4000&nbsp;,&nbsp;Systéme d'exploitation:&nbsp;FreeDos,&nbsp;Mémoire RAM:&nbsp;4 Go&nbsp;DDR3L,&nbsp;Disque Dur:&nbsp;500 Go&nbsp;HDD,&nbsp;Carte graphique:&nbsp;Intel HD Graphics, avec USB 3.0 Type C, HDMI, VGA, Wifi, et Webcam, Couleur: noir-&nbsp;Garantie:&nbsp;1 an",https://www.wiki.tn/pc-portable-asus-vivobook-max-x540ma-4go-500go-noir-11231.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
20,LENOVO,"709,000 DT","Ecran 15.6"" HD LED - Processeur&nbsp;: Intel Celeron N4000, (up to 2.6 GHz,&nbsp;4 Mo de mémoire cache) – Mémoire&nbsp;: 4 Go DDR4-&nbsp;Disque&nbsp;: 500 Go - Carte graphique Intel HD Graphics - Wifi - Bluetooth - HDMI - 1x USB 3.1 Type-C&nbsp;- 2x USB 3.0&nbsp;- Lecteur de cartes - Couleur Bleu - Garantie 1 an&nbsp;+ Sacoche Offerte&nbsp; LENOVO",https://www.wiki.tn/pc-portable-lenovo-ip330-intel-celeron-n4000-4go-500go-bleu--10948.html,https://www.wiki.tn/img/m/12-manu_default.jpg,,,,,,,
21,LENOVO,"709,000 DT","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Ecran 15.6"" HD LED - Processeur&nbsp;&nbsp;Intel Celeron&nbsp;&nbsp;N4000 Dual-Core&nbsp;, up to 2.6 GHz,&nbsp;4 Mo de mémoire cache - Mémoire 4 Go DDR4 -&nbsp;Disque 500 Go - Carte graphique&nbsp;: Intel HD Graphics - Wifi - Bluetooth - HDMI - 1x USB 3.1 Type-C&nbsp;- 2x USB 3.0&nbsp;- Lecteur de cartes - Couleur Silver - Garantie 1 an&nbsp;+ Sacoche Offerte LENOVO",https://www.wiki.tn/pc-portable-lenovo-ip330-dual-core-n4000-4go-500go-silver--10944.html,https://www.wiki.tn/img/m/12-manu_default.jpg,,,,,,,
22,LENOVO,"709,000 DT","IP330&nbsp;: Ecran 15.6"" HD LED - Processeur Intel Celeron N4000, up to 2.6 GHz,&nbsp;4 Mo de mémoire cache - Mémoire 4 Go -&nbsp;Disque 500 Go - Carte graphique Intel HD Graphics - Wifi - Bluetooth - HDMI - 1x USB 3.1 Type-C&nbsp;- 2x USB 3.0&nbsp;- Lecteur de cartes - Couleur Chocolat&nbsp;- Garantie 1 an&nbsp;+ Sacoche Offerte&nbsp;LENOVO",https://www.wiki.tn/pc-portable-lenovo-ip330-dual-core-4go-500go-chocolat-10945.html,https://www.wiki.tn/img/m/12-manu_default.jpg,,,,,,,
23,ASUS,"725,000 DT","Ecran&nbsp;15.6"" HD LED,&nbsp;Processeur&nbsp;&nbsp;Intel Pentium N4200 (up to 2.5 Ghz - 2 Mo cache),&nbsp;Mémoire RAM&nbsp;&nbsp;4 Go&nbsp;,&nbsp;Disque&nbsp;dur&nbsp; 500Go,&nbsp;Carte graphique&nbsp; Intel HD Graphics,Système d'exploitation Freedos, Couleur: Blanc, Garantie:&nbsp;1 an.",https://www.wiki.tn/pc-portable-asus-x541na-quad-core-4go-500go-silver-7334.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
24,ASUS,"725,000 DT","Ecran&nbsp;15.6"" HD LED,&nbsp;Processeur&nbsp;&nbsp;Intel Pentium N4200 (up to 2.5 Ghz, 2 Mo cache),&nbsp;RAM:&nbsp;4&nbsp;Go ,&nbsp;Disque&nbsp;dur&nbsp;&nbsp;500Go,&nbsp;Carte graphique&nbsp;Intel HD - Graphics,&nbsp;Système&nbsp;&nbsp;d'exploitation&nbsp;Free DOS,Wifi, Bluetooth, Webcam, Couleur: gris&nbsp;,&nbsp;Garantie:&nbsp;1 an",https://www.wiki.tn/pc-portable-asus-x541na-quad-core-4go-500go-silver-6048.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
25,ASUS,"729,000 DT","Ecran&nbsp;15.6"" HD LED,&nbsp;Processeur&nbsp; Intel Pentium N4200 (up to 2.5 Ghz - 2 Mo cache),&nbsp;&nbsp;Mémoire RAM&nbsp; 4 Go,&nbsp;Disque&nbsp;dur&nbsp;500Go,&nbsp;Carte graphique:&nbsp;Intel HD Graphics, Wifi, Bluetooth, Webcam, Couleur: Rouge, Free DOS, Garantie:&nbsp;1 an",https://www.wiki.tn/pc-portable-asus-x541na-quad-core-4go-500go-silver-7333.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
26,ASUS,"729,000 DT","Ecran&nbsp;15.6"" HD LED,&nbsp;Processeur&nbsp;Intel Pentium N4200 (up to 2.5 Ghz, 2 Mo cache),&nbsp;Mémoire RAM:&nbsp;4&nbsp;Go&nbsp;,&nbsp;Disque&nbsp;dur&nbsp;&nbsp;500Go,&nbsp;Carte graphique:&nbsp;Intel HD Graphics,&nbsp;Système d'exploitation:&nbsp;Free DOS, Wifi, Bluetooth, Webcam, Couleur: Noir,&nbsp;Garantie:&nbsp;1 an",https://www.wiki.tn/pc-portable-asus-x541na-quad-core-4go-500go-silver-7332.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
27,ASUS,"729,000 DT","Ecran&nbsp;15.6"" HD LED,&nbsp;Processeur&nbsp;Intel Pentium N4200 (up to 2.5 Ghz, 2 Mo cache),&nbsp;Mémoire RAM:&nbsp;4&nbsp;Go&nbsp;,&nbsp;Disque&nbsp;dur&nbsp;&nbsp;500Go,&nbsp;Carte graphique:&nbsp;Intel HD Graphics,&nbsp;Système d'exploitation:&nbsp;Free DOS, Wifi, Bluetooth, Webcam, Couleur: Noir,&nbsp;Garantie:&nbsp;1 an",https://www.wiki.tn/pc-portable-asus-x541na-quad-core-4go-500go-silver-7332.html,https://www.wiki.tn/img/m/27-manu_default.jpg,,,,,,,
