ID,productName,price,currency,brand,linkToDetails,imgPath
79,IdeaPad 330-15IKB - i5 8è Gén - 4 Go - Gris - Garantie 1 an,1609.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-ideapad-330-15ikb-i5-8e-gen-4-go-gris-garantie-1-an-113303.html,"https://tn.jumia.is/FBoPqldRHJkrm1BvQXb3jBFb5FY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/30/3311/1.jpg?7987"
80,Pc - portable - VivoBook - Max - X541NA - Blanc - DualCore - 4 Go,729.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x541na-blanc-dualcore-4-go-100086.html,"https://tn.jumia.is/QRpuNKquV3N6SHJfApp9Hc0XmWc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/68/0001/1.jpg?7704"
81,Pc portable -  X540UB -  i7-8e gen - 8 Go - 1 To - Noir - Garantie 1 an,1919.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-x540ub-i7-8e-gen-8-go-1-to-noir-garantie-1-an-109130.html,"https://tn.jumia.is/eOkWeji-BCDB7kuP-cokmrisJd0=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/03/1901/1.jpg?3953"
82,PC Portable IdeaPad 320 - i3 6è Gén - 1 To - 4 Go - Bleu - Garantie 1 An,899.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-ideapad-320-i3-6e-gen-1-to-4-go-bleu-garantie-1-an-82668.html,"https://tn.jumia.is/zKiAwQB8CeZ38XxX6ZAJF1xwE8I=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/86/628/1.jpg?4286"
83,PC Portable VivoBook Max X541UA-GO1374D - i3 6è Gén - 4 Go - Noir - Garantie 2 Ans,969.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x541ua-go1374d-i3-6e-gen-4-go-noir-garantie-2-ans-27645.html,"https://tn.jumia.is/Nzn8cQ0D5KKF-RSdK3Ee1Mw7feg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/54/672/1.jpg?3863"
84,Pc Portable VivoBook Max X541UA - i3 6è Gén - 4 Go - Rouge - Garantie 2 Ans,969.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x541ua-i3-6e-gen-4-go-rouge-garantie-2-ans-25844.html,"https://tn.jumia.is/GnBULpg7qqU19_bDocXt1SRyYAI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/44/852/1.jpg?1617"
85,PC Portable i3 - 7è gén - 4go - 1to - Noir - Garantie 1 an,1019.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-pc-portable-i3-7e-gen-4go-1to-noir-garantie-1-an-100925.html,"https://tn.jumia.is/LChsV2iygMwSbdsXW9BvH1e_uSA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/52/9001/1.jpg?3584"
86,IDEAPAD 330-15IKB - i5 8È GÉN - 4Go - 1 To - Bleu - Garantie 1an,1609.0,TND,Lenovo&nbsp;,https://www.jumia.com.tn/lenovo-ideapad-330-15ikb-i5-8e-gen-4go-1-to-bleu-garantie-1an-113308.html,"https://tn.jumia.is/X0yyyX_gJnibwZM8_eb7MR8_id4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/80/3311/1.jpg?8167"
87,Pc Portable  i5 - 8é gén - 8go - 1to - Noir - Garantie 2 ans,1629.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-i5-8e-gen-8go-1to-noir-garantie-2-ans-99476.html,"https://tn.jumia.is/jmtOCXn3VG4rhjELL9RPs1GoUQo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/67/499/1.jpg?0404"
88,Pc portable - i5 - 8go - 1tb - Gris - Garantie 1 an,1639.0,TND,HP&nbsp;,https://www.jumia.com.tn/hp-pc-portable-i5-8go-1tb-gris-garantie-1-an-99539.html,"https://tn.jumia.is/NLVOlzdJnsinonKnlZsvUCd_8eg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/93/599/1.jpg?2479"
89,Pc portable notebook -15-da0045nk - I5 - 8go - 1tb - Noir - Garantie 1 an,1639.0,TND,HP&nbsp;,https://www.jumia.com.tn/hp-pc-portable-notebook-15-da0045nk-i5-8go-1tb-noir-garantie-1-an-99484.html,"https://tn.jumia.is/y87BuUf4Cxb5fZ-O6xgvPIE_LcA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/48/499/1.jpg?0403"
90,Pc portable - i5 - 8é gén - 8 Go - 1 To - Silver - Garantie 2 ans,1669.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-i5-8e-gen-8-go-1-to-silver-garantie-2-ans-99475.html,"https://tn.jumia.is/SwbwJqqULobm0ylywAML0hU_heo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/57/499/1.jpg?0404"
91,Pc portable - X542UF-GO449 - Vivobook max - i5 8é Gén - 15.6&quot; -  8 Go - 1 To - Rouge - Garantie 2 Ans,1675.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-x542uf-go449-vivobook-max-i5-8e-gen-15.6-8-go-1-to-rouge-garantie-2-ans-102966.html,"https://tn.jumia.is/KbFORsl_1zBVS8VQXewuKMKirEg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/66/9201/1.jpg?1145"
92,Pc Portable - X542UF-GO450 -  i5 8è gén - 15.6&quot; - 8 Go - 1 To - Blanc - Garantie 2 ans,1789.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-x542uf-go450-i5-8e-gen-15.6-8-go-1-to-blanc-garantie-2-ans-99474.html,"https://tn.jumia.is/ai3DlkD2eckJbq3-G6rrGiGNIeI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/47/499/1.jpg?0406"
93,Pc portable vivobook max - X542UF-GO123-12 - i5 8è gén - 12 go - Silver - Garantie 2 ans,1809.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x542uf-go123-12-i5-8e-gen-12-go-silver-garantie-2-ans-101357.html,"https://tn.jumia.is/Rih8764s-Le8RyEZLulOzsyldmg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/75/3101/1.jpg?6165"
94,Pc portable vivobook max- X542UF-GO123-16 - i5 8è gén - 16 go - Silver - Garantie 2 ans,1919.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x542uf-go123-16-i5-8e-gen-16-go-silver-garantie-2-ans-101349.html,"https://tn.jumia.is/S9IT3TN1kuzMoOkRp4FRW13lIQo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/94/3101/1.jpg?6165"
95,PC Portable  VivoBooK 17 i5 - 8è Gén - 8Go -1To - X705UB-BX120 - Garantie: 2 ans,1929.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-17-i5-8e-gen-8go-1to-x705ub-bx120-garantie-2-ans-84483.html,"https://tn.jumia.is/F-mSE8k8fLbZeSirR-h0kRiAPzc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/38/448/1.jpg?4050"
96,Pc portable vivobook  max - X542UF-GO203-12 - i7 8è gén - 12 go - Silver - Garantie 2 ans,2099.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x542uf-go203-12-i7-8e-gen-12-go-silver-garantie-2-ans-101352.html,"https://tn.jumia.is/CIUj4gHTLwMb3BHiM-H7wRugVv8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/25/3101/1.jpg?6165"
97,Pc portable - X542UF-GO203 - Vivobook - i7 8ème Gén - 15.6 &quot; - 8 Go - 1 To - Gris - Garantie 2 Ans,2159.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-x542uf-go203-vivobook-i7-8eme-gen-15.6-8-go-1-to-gris-garantie-2-ans-102965.html,"https://tn.jumia.is/ti_KKha-TtCV_XVh1XjSUI4hRTs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/56/9201/1.jpg?1145"
98,Pc portable vivobook max - X542UF-GO203-16 - i7 8è gén - 16 go - Silver - garantie 2 ans,2209.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-vivobook-max-x542uf-go203-16-i7-8e-gen-16-go-silver-garantie-2-ans-101350.html,"https://tn.jumia.is/j3XRwXnvuubYQ0TE5ZypwZi9_-k=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/05/3101/1.jpg?6045"
99,PC Portable - 10&#039;&#039; - Quad Core - Ram 2Go - Rom 32Go - 10.1&quot; - Gold - Garantie 1An,349.0,TND,Vega&nbsp;,https://www.jumia.com.tn/vega-pc-portable-10-quad-core-ram-2go-rom-32go-10.1-gold-garantie-1an-40367.html,"https://tn.jumia.is/Ai4B5LUOorsV6XLfv4Y_LD83sbw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/76/304/1.jpg?4444"
100,PC Portable - X540LA - i3 5è Gén - 4Go - 500Go - Noir-XX972 - Garantie 1 an,899.0,TND,ASUS&nbsp;,https://www.jumia.com.tn/asus-pc-portable-x540la-i3-5e-gen-4go-500go-noir-xx972-garantie-1-an-101010.html,"https://tn.jumia.is/xpxp9g2aN1cpA8_fROUDgX_pacE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(100)/product/01/0101/1.jpg?3963"
